Name,Team_ID,Player,Position,Week,Points,Matchup,Opponent
ben,11,Terry McLaurin,Receiver,1,3.7,0,1
ben,11,Zamir White,Runningback,1,4.6,0,1
ben,11,James Conner,Runningback,1,19.3,0,1
ben,11,Drake London,Receiver,1,3.5,0,1
ben,11,Sam LaPorta,TightEnd,1,8.5,0,1
ben,11,Tyreek Hill,Receiver,1,26.0,0,1
ben,11,Brandon Aubrey,Kicker,1,21.0,0,1
ben,11,Dolphins D/ST,Defense,1,8.0,0,1
ben,11,Brock Purdy,Quarterback,1,10.34,0,1
khyler,13,Davante Adams,Receiver,1,10.9,1,0
khyler,13,Jahmyr Gibbs,Runningback,1,17.4,1,0
khyler,13,Saints D/ST,Defense,1,16.0,1,0
khyler,13,Brian Robinson Jr.,Runningback,1,17.9,1,0
khyler,13,Cairo Santos,Kicker,1,13.0,1,0
khyler,13,DJ Moore,Receiver,1,10.0,1,0
khyler,13,Jalen Hurts,Quarterback,1,16.42,1,0
khyler,13,Kyle Pitts,TightEnd,1,11.6,1,0
khyler,13,Jaxon Smith-Njigba,Receiver,1,3.9,1,0
tyler,4,Falcons D/ST,Defense,1,4.0,2,3
tyler,4,Rhamondre Stevenson,Runningback,1,21.6,2,3
tyler,4,Courtland Sutton,Receiver,1,7.8,2,3
tyler,4,C.J. Stroud,Quarterback,1,18.66,2,3
tyler,4,A.J. Brown,Receiver,1,22.9,2,3
tyler,4,Jake Bates,Kicker,1,8.0,2,3
tyler,4,Stefon Diggs,Receiver,1,21.9,2,3
tyler,4,Evan Engram,TightEnd,1,1.5,2,3
tyler,4,Tyjae Spears,Runningback,1,7.2,2,3
liam,3,Jake Moody,Kicker,1,26.0,3,2
liam,3,Puka Nacua,Receiver,1,8.2,3,2
liam,3,Texans D/ST,Defense,1,4.0,3,2
liam,3,Josh Allen,Quarterback,1,31.18,3,2
liam,3,Jaylen Waddle,Receiver,1,16.2,3,2
liam,3,Dalton Schultz,TightEnd,1,4.6,3,2
liam,3,Rashee Rice,Receiver,1,17.3,3,2
liam,3,Isiah Pacheco,Runningback,1,15.8,3,2
liam,3,David Montgomery,Runningback,1,16.3,3,2
austin,12,Kyren Williams,Runningback,1,14.4,4,5
austin,12,DeAndre Hopkins,Receiver,1,1.8,4,5
austin,12,Jake Ferguson,TightEnd,1,4.5,4,5
austin,12,Younghoe Koo,Kicker,1,4.0,4,5
austin,12,Cowboys D/ST,Defense,1,19.0,4,5
austin,12,Jordan Love,Quarterback,1,16.4,4,5
austin,12,Garrett Wilson,Receiver,1,12.0,4,5
austin,12,Aaron Jones,Runningback,1,18.9,4,5
austin,12,Tank Dell,Receiver,1,8.9,4,5
rohan,10,James Cook,Runningback,1,13.3,5,4
rohan,10,Breece Hall,Runningback,1,18.3,5,4
rohan,10,Marvin Harrison Jr.,Receiver,1,1.4,5,4
rohan,10,Ka'imi Fairbairn,Kicker,1,17.0,5,4
rohan,10,Dalton Kincaid,TightEnd,1,2.1,5,4
rohan,10,Buccaneers D/ST,Defense,1,4.0,5,4
rohan,10,Ladd McConkey,Receiver,1,14.9,5,4
rohan,10,Zay Flowers,Receiver,1,11.1,5,4
rohan,10,Jayden Daniels,Quarterback,1,28.16,5,4
jackson,6,Xavier Worthy,Receiver,1,20.8,6,7
